"id","text","sentiment","length","word_count","has_question","has_exclamation","contains_positive_words","contains_negative_words","date"
1,"Lorem ipsum dolor sit amet, sollicitudin duis maecenas habitasse ultrices aenean tempus. Volutpat id, non natoque ad, commodo suscipit sed risus, facilisis mauris aliquam, a. Non leo leo, sapien non eu a quam. Nunc vivamus in, purus ultricies ac suspendisse at. Eu quisque fames sapien consequat et nisl nunc, viverra est mattis mattis posuere. Purus quisque auctor aenean sed risus mauris ante nisi. Ligula ac vitae lacinia. Magna aliquet et mi cubilia per. Hendrerit amet eu ullamcorper turpis ultrices aliquam.","negative",513,80,FALSE,FALSE,FALSE,FALSE,2022-10-23
2,"Lorem ipsum dolor sit amet, dignissim nibh id amet amet dolor eget. Mauris phasellus in elit ligula leo. Euismod litora nulla nascetur porta, eleifend in velit. Risus suspendisse efficitur inceptos luctus enim pharetra in! Quis erat, vel convallis non curabitur tempus nullam amet, elementum tincidunt fermentum. Erat penatibus, parturient porta quis mauris, volutpat. Nunc urna aliquet nec eros diam molestie sociosqu etiam. Phasellus dis arcu varius donec ligula sed tempor. Semper sed, ut nec pulvinar sodales, ridiculus quam ut. Tristique facilisis eu, erat mauris in erat in, mauris. In lacinia vestibulum et ut dignissim quisque cursus, facilisi, et et, ultricies pretium. Sed mollis porta elementum dolor nec sed lacus.","neutral",726,109,FALSE,TRUE,FALSE,FALSE,2023-09-06
3,"Lorem ipsum dolor sit amet, ligula vitae in a sollicitudin mattis vulputate. Nec eu, sociis mi quam nec massa nunc a commodo nulla. Mattis, et euismod enim, quisque nullam purus auctor. Sed mauris imperdiet at viverra pellentesque commodo torquent ac eu, accumsan enim proin penatibus, ut lorem. Elit ut habitasse eget in eleifend aliquet ligula nibh. Id ut nibh amet libero tempor primis turpis. Quam ut, praesent velit sodales. Amet lacus, pulvinar in, viverra pellentesque nibh tincidunt sed. Metus accumsan aptent sed dictumst. Pellentesque netus eleifend est cursus in, feugiat ligula venenatis libero. Nunc ultricies et convallis nulla. Quisque natoque ut morbi curabitur nisl, ipsum at odio.","neutral",698,107,FALSE,FALSE,FALSE,FALSE,2022-11-08
4,"Lorem ipsum dolor sit amet, faucibus tortor, amet risus eget. In ex pharetra non id massa nec et. Enim egestas sagittis quis sed bibendum. Donec elementum tempus ante, sit enim elementum metus nullam. Porta sem nisl sed sed. Hac ac magna nam laoreet fringilla maximus facilisis. Cras, nisi, posuere sed magna fringilla tristique sociosqu amet tincidunt. Curabitur dictumst aliquam sed habitasse non in, blandit aliquam urna suscipit ut.","negative",436,68,FALSE,FALSE,FALSE,FALSE,2023-05-23
5,"Lorem ipsum dolor sit amet, ac, faucibus quis potenti sed a eu. Ipsum fermentum habitasse nam tempor mi dis ac ut sollicitudin justo in, tristique diam luctus. Nunc nec ac dui. Faucibus non amet. Finibus urna, praesent phasellus sed duis per elementum ac litora. Phasellus non vulputate primis, magna vestibulum quis mauris felis facilisis. Lacinia tempus, mattis facilisis sed ante in suscipit nostra tempus. Integer massa lacinia dui finibus aptent euismod ut sed. In molestie varius tincidunt mus volutpat urna nisl aliquam. Gravida in nibh vivamus. Efficitur eleifend ligula lectus eu aliquet hendrerit vel rhoncus blandit.","negative",627,96,FALSE,FALSE,FALSE,FALSE,2021-09-21
6,"Lorem ipsum dolor sit amet, lectus, nulla ultrices vitae id nam porta! Amet pellentesque sapien ut iaculis faucibus eu ridiculus felis congue cras. Fusce ultricies maecenas auctor nunc sed magna, egestas. Velit amet, aliquam leo facilisis nunc. Ac sed gravida dolor gravida ut ac. Eu feugiat facilisis habitasse porttitor, id vel ultricies porta, mauris laoreet. Molestie urna blandit netus dis nullam ut venenatis risus velit. Vestibulum vitae justo netus quis odio vel sit nam tincidunt eu in.","negative",495,77,FALSE,TRUE,FALSE,FALSE,2022-09-30
7,"Lorem ipsum dolor sit amet, netus tincidunt ut aliquam porttitor purus ultricies. Nulla odio in sit porta venenatis. Dui odio sed non. Molestie ut, vitae facilisi varius eget nisi. Sed non elit in porttitor. Netus et ridiculus sed fermentum lacus felis. Fringilla lectus sodales porttitor. Tincidunt velit vel morbi lobortis quisque felis nulla sodales faucibus turpis, arcu viverra. Tortor vel cras sapien pellentesque rhoncus scelerisque vehicula. Odio sed sem, tempus vehicula porta lectus ut eu eleifend et. Vel nibh cras vitae. Imperdiet ac mollis eget faucibus, sed gravida? Donec inceptos, egestas sociis nisl sem.","positive",621,94,TRUE,FALSE,FALSE,FALSE,2022-04-30
8,"Lorem ipsum dolor sit amet, ac orci suscipit, a, fermentum vehicula. Ac mus vulputate mattis sit sed bibendum, litora eu risus quam. Elit in scelerisque erat lorem fermentum diam. Platea cras venenatis finibus ac vehicula viverra dictumst in vulputate magna. Massa convallis sed sed hac ornare tincidunt mattis. Dictumst vel malesuada mi netus curae lacus a duis. Lectus massa mi justo blandit lacus montes sagittis. Mauris magna magna sed ante justo sit, imperdiet, sed scelerisque. Enim scelerisque sed in magna malesuada mauris proin. Duis potenti leo leo eget sapien. A torquent risus in rhoncus ipsum lectus accumsan nulla in.","neutral",631,99,FALSE,FALSE,FALSE,FALSE,2020-07-21
9,"Lorem ipsum dolor sit amet, at ultrices. Tortor elementum luctus id. Mauris pharetra, hac ipsum. Aliquam sed, tortor blandit laoreet magnis sem, ut quis fringilla integer. Sagittis cum, ullamcorper sem sit iaculis. Ut lorem habitant sagittis nam ac blandit dictumst nisi nunc. In ut fringilla nibh cum suspendisse arcu, cum ac cursus ante lectus tincidunt. Ut mollis vel ultrices mi, vel hac. Est sed netus semper interdum vestibulum mattis, magnis integer? Eu penatibus suspendisse.","positive",483,74,TRUE,FALSE,FALSE,FALSE,2022-04-30
10,"Lorem ipsum dolor sit amet, primis mollis, donec dolor magna condimentum sem sed. Maecenas a vulputate. Vestibulum class morbi lorem ut varius varius habitasse donec consequat. Netus orci duis et molestie neque mauris leo hendrerit, augue phasellus. Nulla cursus vitae sapien a, habitant magna eu himenaeos ligula morbi non. Egestas vitae. In pretium vel velit aliquam interdum pharetra dictumst eget.","negative",401,60,FALSE,FALSE,FALSE,FALSE,2023-03-11
11,"Lorem ipsum dolor sit amet, sit dictum lorem non at phasellus eu magna lacus porttitor. Eget quam, nec vivamus nec. Et per pellentesque dictum, erat est. Nec non non arcu augue nisi. Est, in sed mauris integer nunc blandit. Maximus habitasse sit. Quisque vitae ipsum sed platea mi platea, vel ac. Eget dapibus varius magna porta orci varius volutpat mauris et sodales. Nisi dis mus laoreet, mi amet mi finibus. Litora class viverra vel in, risus volutpat et dis. Nec nostra eu nullam pretium, ornare phasellus.","negative",510,86,FALSE,FALSE,FALSE,FALSE,2021-03-01
12,"Lorem ipsum dolor sit amet, nascetur nullam sed quam nam sed sagittis. Vulputate quis vulputate lacinia amet lacinia taciti integer. Mollis eleifend volutpat eros eu euismod. Nam congue sed amet blandit ut aenean felis nulla velit phasellus, nec ac libero. Et et maecenas felis pellentesque nunc elementum convallis in. Habitasse sed amet ipsum morbi sit suscipit vivamus diam. Tristique ipsum quam. Primis vitae sed parturient quis, ullamcorper, ut, penatibus litora molestie. Justo, mollis vestibulum id platea? Curae dolor finibus ipsum a. Luctus turpis in facilisi commodo bibendum lorem eu dapibus sed nec? Fames non quis vitae tincidunt mauris sed. Ad mus primis.","neutral",669,102,TRUE,FALSE,FALSE,FALSE,2021-12-14
13,"Lorem ipsum dolor sit amet, donec, varius convallis donec ante lobortis augue, ac cras, est. Dictum suscipit velit sed. Laoreet ut urna ac accumsan in suscipit nullam. Vitae nec in sed proin quis in ligula varius curabitur turpis eu rhoncus fusce curae ullamcorper. Eget maecenas est vel lobortis sociis, vel mi. Donec sed, et magna in sed amet ante tellus donec augue dictum. Amet sagittis aliquam a tincidunt congue eget nostra non. Mauris auctor quis imperdiet laoreet quis orci inceptos aenean sagittis litora vestibulum. Tristique non, morbi, consequat scelerisque tincidunt lacinia. Quam tristique aliquet ad urna nec nunc eu vitae. Fermentum auctor lacus ex urna ipsum rhoncus ex. Condimentum amet erat, nascetur ante, ut urna dis vivamus. Faucibus consequat neque nostra et neque pretium semper.","negative",803,125,FALSE,FALSE,FALSE,FALSE,2023-10-12
14,"Lorem ipsum dolor sit amet, ut elementum at litora. Mattis vivamus cursus magna adipiscing neque neque! Turpis, ut class, mauris, vestibulum ultrices odio. Penatibus, et tempus inceptos, fringilla aptent mollis. Nec ac ac enim condimentum aptent justo mattis quam accumsan facilisis dapibus. Cras tincidunt sit et sed ad. Suscipit ut et amet urna sodales. Ac et lectus. Id purus ac, nostra scelerisque lorem. Phasellus id consequat sapien, lacinia. Leo iaculis nulla feugiat orci sed nibh purus eros! Tempus bibendum ornare in ac. Tincidunt pellentesque scelerisque non adipiscing morbi massa, potenti sed. Pretium, class ac quam, phasellus quam fusce erat.","neutral",657,99,FALSE,TRUE,FALSE,FALSE,2022-09-08
15,"Lorem ipsum dolor sit amet, quisque nibh odio nisl vel, libero nisl bibendum et in nec habitant. Purus phasellus sed diam in luctus. Bibendum vel nulla bibendum sed pretium, lacus ut class sit? Vulputate enim lacinia sit etiam in mauris quis pulvinar nisl nulla. Ut neque lacus curae non proin sed mollis a eu sit mauris. Habitant dictumst, tincidunt eu, nullam massa turpis viverra nulla sagittis. Eu praesent ut mi dapibus at, primis ante auctor. Sit ultrices sodales augue semper. Convallis cubilia consequat, malesuada in sit sed cras justo cursus. Non eros consectetur in ipsum condimentum placerat semper magnis nisl. Dis imperdiet justo velit at quisque purus lacus ut nibh. Fames tempus sed nisl ac nulla consectetur ante ex. Neque gravida massa amet netus in ut. Placerat magna nam sodales curae nascetur non consequat.","positive",828,134,TRUE,FALSE,FALSE,FALSE,2020-04-07
16,"Lorem ipsum dolor sit amet, nulla phasellus vestibulum! Odio in ligula neque urna viverra dui. Cras volutpat pharetra auctor id odio platea litora pulvinar sagittis nostra interdum, nibh vulputate dolor. Sed phasellus eros magnis eu ante potenti curabitur tempor, sed eget. Pellentesque nullam et natoque molestie id, mi turpis ligula pellentesque himenaeos id molestie. Cursus sit a consequat quam ac non aliquam, lobortis cum, justo. Sociosqu et molestie quis id nec sed et ac vel, convallis. Sed nisl himenaeos sed tincidunt enim felis litora, arcu feugiat luctus. At dui in condimentum vel vivamus arcu eget, viverra.","negative",621,96,FALSE,TRUE,FALSE,FALSE,2023-09-23
17,"Lorem ipsum dolor sit amet, curae libero in interdum consectetur? Massa, tortor ligula ut eu nibh interdum vitae sed. Tincidunt ut eget non sapien non odio tempus. Nec primis, auctor in amet. Lacinia class viverra purus nec nec risus erat posuere. Pulvinar, erat elementum leo, nibh, luctus montes risus luctus id. Eros purus nulla penatibus etiam gravida aenean. Amet in et cras egestas aliquet class elementum, nisi. Ut, vitae leo mattis ante est.","positive",449,73,TRUE,FALSE,FALSE,FALSE,2020-12-27
18,"Lorem ipsum dolor sit amet, et, porttitor quis risus risus convallis fames varius primis id porttitor, luctus, tristique. A, eros amet metus massa. Ut, porta nisi lacinia vestibulum egestas elementum, nascetur. Nibh vel eget sem leo ipsum egestas eleifend. Bibendum diam massa neque consequat commodo, ac ac. Torquent justo felis montes vel mauris porttitor. Proin, gravida non ut mollis montes, luctus mi consequat. Semper tempor urna, rhoncus sapien.","neutral",452,68,FALSE,FALSE,FALSE,FALSE,2020-05-14
